case_id,tier,heavy_atoms,box_edge_a,tight_top1_rmsd_a,tight_bestofn_rmsd_a
9KFH_A1EFG_A301,fragment,9,13.5,4.529852609817085,3.8279788836059856
9KFZ_A1EFO_A301,fragment,10,13.9,5.941835011172896,5.322673181776239
9KG9_A1EFP_A301,drug_like,10,13.9,6.149102511749174,3.3905320526430653
9KGO_A1EFQ_A201,fragment,8,13.1,6.295290590989427,1.5304077071159825
9KX1_A1EHL_A301,drug_like,11,13.6,1.9824994325345973,1.901274094342575
9KX7_A1EHC_A201,fragment,11,13.9,5.6634559157012,4.451441012852927
9KX9_A1EHD_A301,drug_like,12,14.4,8.892196110448007,1.6703701436108893
9KXC_A1EHE_A201,fragment,11,13.7,4.034356093716702,0.6532278594515377
9KXD_53E_A301,drug_like,13,14.3,7.350397686781726,7.2172732545449065
9KXE_A1EHF_A204,fragment,9,13.8,3.5883115497093865,2.2958296007229175
9KXF_A1EHG_A301,drug_like,11,14.2,3.9851396690477716,1.3613227190694148
9KXG_M4T_A301,fragment,10,13.9,8.743675926062219,4.700639158667681
9KXH_A1EHO_A301,drug_like,11,13.8,3.161143938513398,1.9320118341440684
9KXI_A1EHY_A301,drug_like,13,14.5,6.90470930708778,5.867541137478288
9KXJ_A1EVL_A301,drug_like,13,13.8,2.022364819101257,0.490953781312066
9KXK_A1EFQ_A301,fragment,8,13.4,6.180817290213326,1.2331211416564063
9KXL_A1EHQ_A301,fragment,10,14.3,4.813578170134979,4.813578170134979
9KXM_A1ERZ_A301,drug_like,12,14.7,5.167817745431818,0.7268691422807826
9KXN_A1EHR_A301,fragment,10,14.1,7.145030251860379,6.2147845014931935
9KXO_UUY_A301,drug_like,11,14.1,8.857111082473379,4.445099548941507
9KXP_A1EHB_A301,fragment,9,13.7,8.847170162763284,0.6107752814615575
9KXQ_A1EHP_A301,fragment,9,13.9,2.9110966242217984,1.3800270931317895
9V6G_A1ERA_A201,drug_like,13,14.9,3.498095272925187,2.0892760247732483
9V6I_A1ERA_A202,drug_like,13,14.9,5.153898927399155,3.8528561234092695
9V6P_A1ERA_A202,drug_like,13,15.1,2.365461834887152,2.3635311750397143
9V6W_A1ERA_A201,drug_like,13,14.5,2.7952885498501003,2.679279093625459
