pdb_id,method,resolution_a,comp_id,comp_name,formula,formula_weight,comp_type,smiles,heavy_atoms,auth_asym_ids,classification,tier,case_id,lig_chain,lig_resseq,n_ligand_atoms_modelled,n_altloc_atoms_skipped,min_dist_to_protein_a,link_record,is_covalent,receptor_atoms_kept,solvent_atoms_removed,ligand_atoms_removed,other_het_retained,receptor_pdbqt,ref_pdb,box_json,host_chain,ref_6vaj_pdb,ca_fit_rmsd_a,n_fit_residues,cross_dock_ready,ref_frac_atoms_in_prod_box,ref_centroid_dist_to_prod_centre_a,ref_in_prod_box,status,drop_reason,self_pose_dir,cross_pose_dir,self_rmsd_a,cross_rmsd_a,self_affinity,cross_affinity,n_rot_bonds,tight_top1_rmsd_a,tight_bestofn_rmsd_a,box_edge_a,self_bestofn_rmsd_a,self_n_modes,cross_bestofn_rmsd_a,cross_n_modes
3IKG,X-RAY DIFFRACTION,1.86,J8Z,(2R)-2-[(1-benzothiophen-2-ylcarbonyl)amino]-3-(3-methylphenyl)propyl phosphate,C19 H18 N O5 P S,403.389,non-polymer,Cc1cccc(c1)C[C@H](COP(=O)([O-])[O-])NC(=O)c2cc3ccccc3s2,27,"A,B",ligand,drug_like,3IKG_J8Z_A1,A,1,27,0,2.676,False,False,1781.0,167.0,54.0,0.0,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/receptors/3IKG/receptor.pdbqt,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/refs/3IKG_J8Z_A1_ref.pdb,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/boxes/3IKG_J8Z_A1.json,A,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/refs_6vaj/3IKG_J8Z_A1_ref6vaj.pdb,0.488,113.0,True,1.0,1.48,True,case,,/data/lab_vm/append_only/inhibition/05_redock_benchmark/dock_1/self/3IKG_J8Z_A1/poses,/data/lab_vm/append_only/inhibition/05_redock_benchmark/dock_1/cross/poses,0.7994233569915905,2.674076787728181,-7.5,-6.7,7,1.6164204394392685,0.7840621904661125,19.0,0.7994233569915905,9,2.26786603072874,9
3JYJ,X-RAY DIFFRACTION,1.87,JZI,"(2R,4E)-2-[(naphthalen-2-ylcarbonyl)amino]-5-phenylpent-4-enoic acid",C22 H19 N O3,345.391,non-polymer,c1ccc(cc1)/C=C/C[C@H](C(=O)O)NC(=O)c2ccc3ccccc3c2,26,"A,B",ligand,drug_like,3JYJ_JZI_A301,A,301,26,0,2.912,False,False,1768.0,125.0,52.0,0.0,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/receptors/3JYJ/receptor.pdbqt,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/refs/3JYJ_JZI_A301_ref.pdb,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/boxes/3JYJ_JZI_A301.json,A,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/refs_6vaj/3JYJ_JZI_A301_ref6vaj.pdb,0.479,113.0,True,1.0,1.96,True,case,,/data/lab_vm/append_only/inhibition/05_redock_benchmark/dock_1/self/3JYJ_JZI_A301/poses,/data/lab_vm/append_only/inhibition/05_redock_benchmark/dock_1/cross/poses,7.025271141769877,9.057742213156654,-7.6,-6.8,6,5.961744782037709,0.7268398141162986,17.7,0.5204694626377822,9,2.5590192833012604,9
3KAB,X-RAY DIFFRACTION,2.19,4BL,6-methyl-1H-indole-2-carboxylic acid,C10 H9 N O2,175.184,non-polymer,Cc1ccc2cc([nH]c2c1)C(=O)O,13,A,ligand,drug_like,3KAB_4BL_A166,A,166,13,0,2.683,False,False,1174.0,86.0,13.0,18.0,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/receptors/3KAB/receptor.pdbqt,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/refs/3KAB_4BL_A166_ref.pdb,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/boxes/3KAB_4BL_A166.json,A,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/refs_6vaj/3KAB_4BL_A166_ref6vaj.pdb,0.345,111.0,True,1.0,1.09,True,case,,/data/lab_vm/append_only/inhibition/05_redock_benchmark/dock_1/self/3KAB_4BL_A166/poses,/data/lab_vm/append_only/inhibition/05_redock_benchmark/dock_1/cross/poses,1.886555550773378,2.0435019527197005,-5.4,-5.5,1,2.05428911529774,1.756358558101216,14.6,1.0436277703649537,9,2.0435019527197005,9
3KAC,X-RAY DIFFRACTION,2.0,4BX,3-(1H-benzimidazol-2-yl)propanoic acid,C10 H10 N2 O2,190.199,non-polymer,c1ccc2c(c1)[nH]c(n2)CCC(=O)O,14,"A,B",ligand,drug_like,3KAC_4BX_A1,A,1,14,0,2.769,False,False,1795.0,224.0,28.0,0.0,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/receptors/3KAC/receptor.pdbqt,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/refs/3KAC_4BX_A1_ref.pdb,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/boxes/3KAC_4BX_A1.json,A,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/refs_6vaj/3KAC_4BX_A1_ref6vaj.pdb,0.535,113.0,True,1.0,2.1,True,case,,/data/lab_vm/append_only/inhibition/05_redock_benchmark/dock_1/self/3KAC_4BX_A1/poses,/data/lab_vm/append_only/inhibition/05_redock_benchmark/dock_1/cross/poses,0.9982410959854762,3.4785441228027736,-6.0,-5.5,3,0.987611259555094,0.7942304901151629,14.8,0.6871550043476362,9,3.170009125719176,9
3KAD,X-RAY DIFFRACTION,1.95,4C0,3-(1H-benzimidazol-2-yl)-N-(3-phenylpropanoyl)-D-alanine,C19 H19 N3 O3,337.372,non-polymer,c1ccc(cc1)CCC(=O)N[C@H](Cc2[nH]c3ccccc3n2)C(=O)O,25,A,ligand,drug_like,3KAD_4C0_A164,A,164,25,0,2.747,False,False,1169.0,165.0,25.0,24.0,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/receptors/3KAD/receptor.pdbqt,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/refs/3KAD_4C0_A164_ref.pdb,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/boxes/3KAD_4C0_A164.json,A,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/refs_6vaj/3KAD_4C0_A164_ref6vaj.pdb,0.356,110.0,True,1.0,2.0,True,case,,/data/lab_vm/append_only/inhibition/05_redock_benchmark/dock_1/self/3KAD_4C0_A164/poses,/data/lab_vm/append_only/inhibition/05_redock_benchmark/dock_1/cross/poses,5.31356739300444,5.4524406571736295,-6.0,-6.3,7,5.412889021585423,4.737285784075096,17.5,4.737112728234362,9,3.359020065435752,9
3KAF,X-RAY DIFFRACTION,2.3,4D9,3-(1H-benzimidazol-2-yl)-N-(1-benzothiophen-2-ylcarbonyl)-D-alanine,C19 H15 N3 O3 S,365.406,non-polymer,c1ccc2c(c1)cc(s2)C(=O)N[C@H](Cc3[nH]c4ccccc4n3)C(=O)O,26,A,ligand,drug_like,3KAF_4D9_A164,A,164,26,0,2.745,False,False,1152.0,48.0,26.0,0.0,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/receptors/3KAF/receptor.pdbqt,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/refs/3KAF_4D9_A164_ref.pdb,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/boxes/3KAF_4D9_A164.json,A,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/refs_6vaj/3KAF_4D9_A164_ref6vaj.pdb,0.412,110.0,True,1.0,2.03,True,case,,/data/lab_vm/append_only/inhibition/05_redock_benchmark/dock_1/self/3KAF_4D9_A164/poses,/data/lab_vm/append_only/inhibition/05_redock_benchmark/dock_1/cross/poses,7.8903113129574685,7.150063038990528,-7.0,-6.4,5,7.89218940569628,1.1897342463437273,17.5,1.5661967162033492,9,4.372118849113006,9
3KAG,X-RAY DIFFRACTION,1.9,4D7,3-(1H-benzimidazol-2-yl)-N-[(2-methylfuran-3-yl)carbonyl]-D-alanine,C16 H15 N3 O4,313.308,non-polymer,Cc1c(cco1)C(=O)N[C@H](Cc2[nH]c3ccccc3n2)C(=O)O,23,A,ligand,drug_like,3KAG_4D7_A164,A,164,23,0,2.697,False,False,1178.0,121.0,23.0,22.0,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/receptors/3KAG/receptor.pdbqt,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/refs/3KAG_4D7_A164_ref.pdb,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/boxes/3KAG_4D7_A164.json,A,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/refs_6vaj/3KAG_4D7_A164_ref6vaj.pdb,0.326,111.0,True,1.0,2.16,True,case,,/data/lab_vm/append_only/inhibition/05_redock_benchmark/dock_1/self/3KAG_4D7_A164/poses,/data/lab_vm/append_only/inhibition/05_redock_benchmark/dock_1/cross/poses,4.525558706800261,3.93019279867828,-6.7,-6.2,5,4.2623156647633405,1.5987902083871983,17.2,1.5516746073054493,9,3.899897964105572,9
3KAH,X-RAY DIFFRACTION,2.3,4DH,3-(1H-benzimidazol-2-yl)-N-[(1-methyl-3-phenyl-1H-pyrazol-5-yl)carbonyl]-D-alanine,C21 H19 N5 O3,389.407,non-polymer,Cn1c(cc(n1)c2ccccc2)C(=O)N[C@H](Cc3[nH]c4ccccc4n3)C(=O)O,29,A,ligand,drug_like,3KAH_4DH_A165,A,165,29,0,2.521,False,False,1180.0,112.0,29.0,24.0,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/receptors/3KAH/receptor.pdbqt,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/refs/3KAH_4DH_A165_ref.pdb,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/boxes/3KAH_4DH_A165.json,A,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/refs_6vaj/3KAH_4DH_A165_ref6vaj.pdb,0.361,111.0,True,1.0,2.56,True,case,,/data/lab_vm/append_only/inhibition/05_redock_benchmark/dock_1/self/3KAH_4DH_A165/poses,/data/lab_vm/append_only/inhibition/05_redock_benchmark/dock_1/cross/poses,0.9436493540761184,5.518194835394933,-7.3,-6.9,6,0.9784898815398454,0.973866184250991,17.9,0.9436493540761183,9,4.582038934044912,9
3KAI,X-RAY DIFFRACTION,1.9,4FI,(2R)-2-[(2-methyl-5-phenyl-pyrazol-3-yl)carbonylamino]-3-naphthalen-2-yl-propanoic acid,C24 H21 N3 O3,399.442,non-polymer,Cn1c(cc(n1)c2ccccc2)C(=O)N[C@H](Cc3ccc4ccccc4c3)C(=O)O,30,A,ligand,drug_like,3KAI_4FI_A165,A,165,30,0,3.068,False,False,1175.0,116.0,30.0,19.0,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/receptors/3KAI/receptor.pdbqt,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/refs/3KAI_4FI_A165_ref.pdb,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/boxes/3KAI_4FI_A165.json,A,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/refs_6vaj/3KAI_4FI_A165_ref6vaj.pdb,0.375,111.0,True,1.0,2.61,True,case,,/data/lab_vm/append_only/inhibition/05_redock_benchmark/dock_1/self/3KAI_4FI_A165/poses,/data/lab_vm/append_only/inhibition/05_redock_benchmark/dock_1/cross/poses,7.815618996599055,6.22072127114962,-7.5,-7.2,6,7.7944975570377,1.39781044256127,18.5,1.5109681664416366,9,5.711631728324226,9
3KCE,X-RAY DIFFRACTION,1.9,4BY,5-methyl-1H-indole-2-carboxylic acid,C10 H9 N O2,175.184,non-polymer,Cc1ccc2c(c1)cc([nH]2)C(=O)O,13,A,ligand,drug_like,3KCE_4BY_A165,A,165,13,0,3.008,False,False,1178.0,118.0,13.0,24.0,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/receptors/3KCE/receptor.pdbqt,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/refs/3KCE_4BY_A165_ref.pdb,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/boxes/3KCE_4BY_A165.json,A,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/refs_6vaj/3KCE_4BY_A165_ref6vaj.pdb,0.404,111.0,True,1.0,1.84,True,case,,/data/lab_vm/append_only/inhibition/05_redock_benchmark/dock_1/self/3KCE_4BY_A165/poses,/data/lab_vm/append_only/inhibition/05_redock_benchmark/dock_1/cross/poses,0.5673144562830139,2.7614307746305937,-5.1,-5.3,1,0.5501016689247963,0.5501016689247963,14.5,0.5673144562830139,9,2.559789714921009,9
3NTP,X-RAY DIFFRACTION,1.762,RZD,(2R)-2-(acetylamino)-3-[(2S)-2-{[2-(1H-indol-3-yl)ethyl]carbamoyl}pyrrolidin-1-yl]propyl dihydrogen phosphate,C20 H29 N4 O6 P,452.441,non-polymer,CC(=O)N[C@H](C[N@@]1CCC[C@H]1C(=O)NCCc2c[nH]c3c2cccc3)COP(=O)(O)O,31,A,ligand,drug_like,3NTP_RZD_A164,A,164,31,0,2.703,False,False,1194.0,86.0,31.0,25.0,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/receptors/3NTP/receptor.pdbqt,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/refs/3NTP_RZD_A164_ref.pdb,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/boxes/3NTP_RZD_A164.json,A,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/refs_6vaj/3NTP_RZD_A164_ref6vaj.pdb,0.405,112.0,True,1.0,1.86,True,case,,/data/lab_vm/append_only/inhibition/05_redock_benchmark/dock_1/self/3NTP_RZD_A164/poses,/data/lab_vm/append_only/inhibition/05_redock_benchmark/dock_1/cross/poses,1.1444897722171563,4.3647787883199465,-6.8,-5.8,10,1.2375796618217516,1.112905917247797,18.8,1.1444897722171565,9,3.9620966020367256,9
