pdb_id,method,resolution_a,comp_id,comp_name,formula,formula_weight,comp_type,smiles,heavy_atoms,auth_asym_ids,classification,tier,case_id,lig_chain,lig_resseq,n_ligand_atoms_modelled,n_altloc_atoms_skipped,min_dist_to_protein_a,link_record,is_covalent,receptor_atoms_kept,solvent_atoms_removed,ligand_atoms_removed,other_het_retained,receptor_pdbqt,ref_pdb,box_json,host_chain,ref_6vaj_pdb,ca_fit_rmsd_a,n_fit_residues,cross_dock_ready,ref_frac_atoms_in_prod_box,ref_centroid_dist_to_prod_centre_a,ref_in_prod_box,status,drop_reason
3IKD,X-RAY DIFFRACTION,2.0,J9Z,(2R)-2-[(1-benzothiophen-2-ylcarbonyl)amino]-3-phenylpropyl phosphate,C18 H16 N O5 P S,389.362,non-polymer,c1ccc(cc1)C[C@H](COP(=O)([O-])[O-])NC(=O)c2cc3ccccc3s2,26,"A,B",ligand,drug_like,3IKD_J9Z_A501,A,501,26,0,2.706,False,False,1750.0,474.0,84.0,0.0,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/receptors/3IKD/receptor.pdbqt,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/refs/3IKD_J9Z_A501_ref.pdb,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/boxes/3IKD_J9Z_A501.json,A,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/refs_6vaj/3IKD_J9Z_A501_ref6vaj.pdb,0.515,113.0,True,1.0,1.46,True,case,
3IKG,X-RAY DIFFRACTION,1.86,J8Z,(2R)-2-[(1-benzothiophen-2-ylcarbonyl)amino]-3-(3-methylphenyl)propyl phosphate,C19 H18 N O5 P S,403.389,non-polymer,Cc1cccc(c1)C[C@H](COP(=O)([O-])[O-])NC(=O)c2cc3ccccc3s2,27,"A,B",ligand,drug_like,3IKG_J8Z_A1,A,1,27,0,2.676,False,False,1781.0,167.0,54.0,0.0,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/receptors/3IKG/receptor.pdbqt,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/refs/3IKG_J8Z_A1_ref.pdb,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/boxes/3IKG_J8Z_A1.json,A,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/refs_6vaj/3IKG_J8Z_A1_ref6vaj.pdb,0.488,113.0,True,1.0,1.48,True,case,
3JYJ,X-RAY DIFFRACTION,1.87,JZI,"(2R,4E)-2-[(naphthalen-2-ylcarbonyl)amino]-5-phenylpent-4-enoic acid",C22 H19 N O3,345.391,non-polymer,c1ccc(cc1)/C=C/C[C@H](C(=O)O)NC(=O)c2ccc3ccccc3c2,26,"A,B",ligand,drug_like,3JYJ_JZI_A301,A,301,26,0,2.912,False,False,1768.0,125.0,52.0,0.0,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/receptors/3JYJ/receptor.pdbqt,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/refs/3JYJ_JZI_A301_ref.pdb,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/boxes/3JYJ_JZI_A301.json,A,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/refs_6vaj/3JYJ_JZI_A301_ref6vaj.pdb,0.479,113.0,True,1.0,1.96,True,case,
3KAB,X-RAY DIFFRACTION,2.19,4BL,6-methyl-1H-indole-2-carboxylic acid,C10 H9 N O2,175.184,non-polymer,Cc1ccc2cc([nH]c2c1)C(=O)O,13,A,ligand,drug_like,3KAB_4BL_A166,A,166,13,0,2.683,False,False,1174.0,86.0,13.0,18.0,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/receptors/3KAB/receptor.pdbqt,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/refs/3KAB_4BL_A166_ref.pdb,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/boxes/3KAB_4BL_A166.json,A,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/refs_6vaj/3KAB_4BL_A166_ref6vaj.pdb,0.345,111.0,True,1.0,1.09,True,case,
3KAC,X-RAY DIFFRACTION,2.0,4BX,3-(1H-benzimidazol-2-yl)propanoic acid,C10 H10 N2 O2,190.199,non-polymer,c1ccc2c(c1)[nH]c(n2)CCC(=O)O,14,"A,B",ligand,drug_like,3KAC_4BX_A1,A,1,14,0,2.769,False,False,1795.0,224.0,28.0,0.0,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/receptors/3KAC/receptor.pdbqt,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/refs/3KAC_4BX_A1_ref.pdb,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/boxes/3KAC_4BX_A1.json,A,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/refs_6vaj/3KAC_4BX_A1_ref6vaj.pdb,0.535,113.0,True,1.0,2.1,True,case,
3KAD,X-RAY DIFFRACTION,1.95,4C0,3-(1H-benzimidazol-2-yl)-N-(3-phenylpropanoyl)-D-alanine,C19 H19 N3 O3,337.372,non-polymer,c1ccc(cc1)CCC(=O)N[C@H](Cc2[nH]c3ccccc3n2)C(=O)O,25,A,ligand,drug_like,3KAD_4C0_A164,A,164,25,0,2.747,False,False,1169.0,165.0,25.0,24.0,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/receptors/3KAD/receptor.pdbqt,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/refs/3KAD_4C0_A164_ref.pdb,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/boxes/3KAD_4C0_A164.json,A,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/refs_6vaj/3KAD_4C0_A164_ref6vaj.pdb,0.356,110.0,True,1.0,2.0,True,case,
3KAF,X-RAY DIFFRACTION,2.3,4D9,3-(1H-benzimidazol-2-yl)-N-(1-benzothiophen-2-ylcarbonyl)-D-alanine,C19 H15 N3 O3 S,365.406,non-polymer,c1ccc2c(c1)cc(s2)C(=O)N[C@H](Cc3[nH]c4ccccc4n3)C(=O)O,26,A,ligand,drug_like,3KAF_4D9_A164,A,164,26,0,2.745,False,False,1152.0,48.0,26.0,0.0,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/receptors/3KAF/receptor.pdbqt,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/refs/3KAF_4D9_A164_ref.pdb,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/boxes/3KAF_4D9_A164.json,A,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/refs_6vaj/3KAF_4D9_A164_ref6vaj.pdb,0.412,110.0,True,1.0,2.03,True,case,
3KAG,X-RAY DIFFRACTION,1.9,4D7,3-(1H-benzimidazol-2-yl)-N-[(2-methylfuran-3-yl)carbonyl]-D-alanine,C16 H15 N3 O4,313.308,non-polymer,Cc1c(cco1)C(=O)N[C@H](Cc2[nH]c3ccccc3n2)C(=O)O,23,A,ligand,drug_like,3KAG_4D7_A164,A,164,23,0,2.697,False,False,1178.0,121.0,23.0,22.0,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/receptors/3KAG/receptor.pdbqt,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/refs/3KAG_4D7_A164_ref.pdb,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/boxes/3KAG_4D7_A164.json,A,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/refs_6vaj/3KAG_4D7_A164_ref6vaj.pdb,0.326,111.0,True,1.0,2.16,True,case,
3KAH,X-RAY DIFFRACTION,2.3,4DH,3-(1H-benzimidazol-2-yl)-N-[(1-methyl-3-phenyl-1H-pyrazol-5-yl)carbonyl]-D-alanine,C21 H19 N5 O3,389.407,non-polymer,Cn1c(cc(n1)c2ccccc2)C(=O)N[C@H](Cc3[nH]c4ccccc4n3)C(=O)O,29,A,ligand,drug_like,3KAH_4DH_A165,A,165,29,0,2.521,False,False,1180.0,112.0,29.0,24.0,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/receptors/3KAH/receptor.pdbqt,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/refs/3KAH_4DH_A165_ref.pdb,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/boxes/3KAH_4DH_A165.json,A,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/refs_6vaj/3KAH_4DH_A165_ref6vaj.pdb,0.361,111.0,True,1.0,2.56,True,case,
3KAI,X-RAY DIFFRACTION,1.9,4FI,(2R)-2-[(2-methyl-5-phenyl-pyrazol-3-yl)carbonylamino]-3-naphthalen-2-yl-propanoic acid,C24 H21 N3 O3,399.442,non-polymer,Cn1c(cc(n1)c2ccccc2)C(=O)N[C@H](Cc3ccc4ccccc4c3)C(=O)O,30,A,ligand,drug_like,3KAI_4FI_A165,A,165,30,0,3.068,False,False,1175.0,116.0,30.0,19.0,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/receptors/3KAI/receptor.pdbqt,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/refs/3KAI_4FI_A165_ref.pdb,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/boxes/3KAI_4FI_A165.json,A,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/refs_6vaj/3KAI_4FI_A165_ref6vaj.pdb,0.375,111.0,True,1.0,2.61,True,case,
3KCE,X-RAY DIFFRACTION,1.9,4BY,5-methyl-1H-indole-2-carboxylic acid,C10 H9 N O2,175.184,non-polymer,Cc1ccc2c(c1)cc([nH]2)C(=O)O,13,A,ligand,drug_like,3KCE_4BY_A165,A,165,13,0,3.008,False,False,1178.0,118.0,13.0,24.0,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/receptors/3KCE/receptor.pdbqt,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/refs/3KCE_4BY_A165_ref.pdb,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/boxes/3KCE_4BY_A165.json,A,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/refs_6vaj/3KCE_4BY_A165_ref6vaj.pdb,0.404,111.0,True,1.0,1.84,True,case,
3NTP,X-RAY DIFFRACTION,1.762,RZD,(2R)-2-(acetylamino)-3-[(2S)-2-{[2-(1H-indol-3-yl)ethyl]carbamoyl}pyrrolidin-1-yl]propyl dihydrogen phosphate,C20 H29 N4 O6 P,452.441,non-polymer,CC(=O)N[C@H](C[N@@]1CCC[C@H]1C(=O)NCCc2c[nH]c3c2cccc3)COP(=O)(O)O,31,A,ligand,drug_like,3NTP_RZD_A164,A,164,31,0,2.703,False,False,1194.0,86.0,31.0,25.0,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/receptors/3NTP/receptor.pdbqt,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/refs/3NTP_RZD_A164_ref.pdb,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/boxes/3NTP_RZD_A164.json,A,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/refs_6vaj/3NTP_RZD_A164_ref6vaj.pdb,0.405,112.0,True,1.0,1.86,True,case,
3ODK,X-RAY DIFFRACTION,2.3,ODK,3-pyridin-2-yl-1H-pyrazole-5-carboxylic acid,C9 H7 N3 O2,189.171,non-polymer,c1ccnc(c1)c2cc([nH]n2)C(=O)O,14,A,ligand,drug_like,3ODK_ODK_A165,A,165,14,0,3.038,False,False,1179.0,67.0,14.0,23.0,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/receptors/3ODK/receptor.pdbqt,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/refs/3ODK_ODK_A165_ref.pdb,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/boxes/3ODK_ODK_A165.json,A,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/refs_6vaj/3ODK_ODK_A165_ref6vaj.pdb,0.438,111.0,True,1.0,1.83,True,case,
3OOB,X-RAY DIFFRACTION,1.89,KDH,"(2R,3R)-5,7-dihydroxy-2-(3,4,5-trihydroxyphenyl)-3,4-dihydro-2H-chromen-3-yl 3,4,5-trihydroxybenzoate",C22 H18 O11,458.372,non-polymer,c1c(cc(c(c1O)O)O)[C@@H]2[C@@H](Cc3c(cc(cc3O2)O)O)OC(=O)c4cc(c(c(c4)O)O)O,33,A,ligand,drug_like,3OOB_KDH_A402,A,402,33,0,2.646,False,False,1205.0,117.0,66.0,40.0,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/receptors/3OOB/receptor.pdbqt,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/refs/3OOB_KDH_A402_ref.pdb,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/boxes/3OOB_KDH_A402.json,A,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/refs_6vaj/3OOB_KDH_A402_ref6vaj.pdb,0.386,111.0,True,0.0,32.36,False,case,
3TC5,X-RAY DIFFRACTION,1.4,3T5,"(11alpha,16alpha)-9-fluoro-11,17-dihydroxy-16-methyl-3,20-dioxopregna-1,4-dien-21-yl dihydrogen phosphate",C22 H30 F O8 P,472.441,non-polymer,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)COP(=O)(O)O)O)C)O)F)C,32,A,ligand,drug_like,3TC5_3T5_A164,A,164,32,0,2.584,False,False,1135.0,285.0,32.0,0.0,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/receptors/3TC5/receptor.pdbqt,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/refs/3TC5_3T5_A164_ref.pdb,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/boxes/3TC5_3T5_A164.json,A,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/refs_6vaj/3TC5_3T5_A164_ref6vaj.pdb,0.4,111.0,True,1.0,2.16,True,case,
3TCZ,X-RAY DIFFRACTION,2.1,R2Z,"N~2~-({(1R,2Z)-2-[(2R)-2-(formylamino)-3-(phosphonooxy)propylidene]cyclopentyl}carbonyl)-L-argininamide",C16 H29 N6 O7 P,448.411,non-polymer,[H]/N=C(\N)/NCCC[C@@H](C(=O)N)NC(=O)[C@@H]\1CCC/C1=C/[C@H](COP(=O)(O)O)NC=O,30,A,ligand,drug_like,3TCZ_R2Z_A1,A,1,30,0,2.586,False,False,1188.0,87.0,30.0,24.0,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/receptors/3TCZ/receptor.pdbqt,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/refs/3TCZ_R2Z_A1_ref.pdb,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/boxes/3TCZ_R2Z_A1.json,A,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/refs_6vaj/3TCZ_R2Z_A1_ref6vaj.pdb,0.357,111.0,True,1.0,2.23,True,case,
3TDB,X-RAY DIFFRACTION,2.267,3TB,"N-[(1E,2R)-1-[(2R)-2-{[(2S)-1-amino-5-carbamimidamido-1-oxopentan-2-yl]carbamoyl}cyclopentylidene]-3-(phosphonooxy)propan-2-yl]-L-phenylalaninamide",C24 H38 N7 O7 P,567.575,non-polymer,[H]/N=C(\N)/NCCC[C@@H](C(=O)N)NC(=O)[C@@H]\1CCC/C1=C\[C@H](COP(=O)(O)O)NC(=O)[C@H](Cc2ccccc2)N,39,A,ligand,drug_like,3TDB_3TB_A1,A,1,39,0,2.925,False,False,1188.0,64.0,39.0,24.0,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/receptors/3TDB/receptor.pdbqt,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/refs/3TDB_3TB_A1_ref.pdb,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/boxes/3TDB_3TB_A1.json,A,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/refs_6vaj/3TDB_3TB_A1_ref6vaj.pdb,0.369,111.0,True,1.0,3.08,True,case,
4TNS,X-RAY DIFFRACTION,1.33,REA,RETINOIC ACID,C20 H28 O2,300.435,non-polymer,CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/C(=O)O)/C)/C,22,A,ligand,drug_like,4TNS_REA_A201,A,201,22,0,2.399,False,False,1784.0,127.0,22.0,0.0,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/receptors/4TNS/receptor.pdbqt,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/refs/4TNS_REA_A201_ref.pdb,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/boxes/4TNS_REA_A201.json,A,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/refs_6vaj/4TNS_REA_A201_ref6vaj.pdb,0.516,113.0,True,1.0,3.13,True,case,
4TYO,X-RAY DIFFRACTION,1.75,39X,3-(6-fluoro-1H-benzimidazol-2-yl)-N-(naphthalen-2-ylcarbonyl)-D-alanine,C21 H16 F N3 O3,377.368,non-polymer,c1ccc2cc(ccc2c1)C(=O)N[C@H](Cc3[nH]c4cc(ccc4n3)F)C(=O)O,28,"A,B",ligand,drug_like,4TYO_39X_A201,A,201,28,0,2.742,False,False,1778.0,173.0,86.0,0.0,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/receptors/4TYO/receptor.pdbqt,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/refs/4TYO_39X_A201_ref.pdb,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/boxes/4TYO_39X_A201.json,A,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/refs_6vaj/4TYO_39X_A201_ref6vaj.pdb,0.468,113.0,True,1.0,1.57,True,case,
6VAJ,X-RAY DIFFRACTION,1.42,QT7,"2-chloro-N-(2,2-dimethylpropyl)-N-[(3R)-1,1-dioxo-1lambda~6~-thiolan-3-yl]acetamide",C11 H20 Cl N O3 S,281.799,non-polymer,CC(C)(C)CN([C@@H]1CCS(=O)(=O)C1)C(=O)CCl,17,A,ligand,drug_like,6VAJ_QT7_A201,A,201,16,0,1.776,True,True,,,,,,,,,,,,,,,,excluded_covalent,covalent_at_1.78A_leaving_group_absent_16_of_17_link_record
